Radius,ERn86Epi,ERn58Epi,ERp73Epi,ERp3019Epi
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0.00884955752212389,0.0169491525423729,0.00496894409937888
9,0,0.0265486725663717,0.0338983050847458,0.0236024844720497
10,0.0127388535031847,0.0442477876106195,0.0711864406779661,0.0627329192546584
11,0.0191082802547771,0,0.149152542372881,0.115527950310559
12,0.0382165605095541,0.079646017699115,0.220338983050847,0.179503105590062
13,0.0764331210191083,0.0973451327433628,0.308474576271186,0.251552795031056
14,0.089171974522293,0.150442477876106,0.372881355932203,0.337888198757764
15,0.121019108280255,0.230088495575221,0.440677966101695,0.427950310559006
16,0.197452229299363,0.292035398230089,0.522033898305085,0.513664596273292
17,0.273885350318471,0.353982300884956,0.593220338983051,0.602484472049689
18,0.331210191082803,0.424778761061947,0.715254237288136,0.716770186335404
19,0.369426751592357,0.495575221238938,0.840677966101695,0.832919254658385
20,0.420382165605096,0.566371681415929,0.925423728813559,0.950310559006211
21,0.45859872611465,0.619469026548673,1.05084745762712,1.06583850931677
22,0.522292993630573,0.769911504424779,1.15932203389831,1.20931677018634
23,0.611464968152866,0.876106194690266,1.27457627118644,1.36086956521739
24,0.687898089171974,0.964601769911504,1.42033898305085,1.50931677018634
25,0.815286624203822,1.05309734513274,1.52542372881356,1.67763975155279
26,0.929936305732484,1.19469026548673,1.65762711864407,1.86273291925466
27,1.01273885350318,1.28318584070796,1.84067796610169,2.04099378881988
28,1.08917197452229,1.4070796460177,2.00677966101695,2.22919254658385
29,1.17197452229299,1.60176991150442,2.14915254237288,2.43478260869565
30,1.31847133757962,1.68141592920354,2.3728813559322,2.63975155279503
31,1.39490445859873,1.85840707964602,2.56271186440678,2.85155279503106
32,1.47770700636943,2.0353982300885,2.78305084745763,3.07391304347826
33,1.5796178343949,2.16814159292035,2.96610169491525,3.30621118012422
34,1.69426751592357,2.31858407079646,3.16949152542373,3.55900621118012
35,1.85350318471338,2.46902654867257,3.3728813559322,3.80124223602484
