NAME	Myoepithelial	GenMod1	PVL Differentiated	B cells Naive	T cells CD4+	T cells CD8+	Macrophage	Endothelial CXCL12	Endothelial ACKR1	GenMod4	NKT cells	GenMod2	Plasmablasts	GenMod5	GenMod3	Monocyte	B cells Memory	GenMod6	GenMod7	CAFs MSC iCAF-like	DCs	CAFs myCAF-like	Mature Luminal	NK cells	Luminal Progenitors	Endothelial RGS5	PVL Immature	Endothelial Lymphatic LYVE1
A1BG	1	108.285411992971	72.8446740201853	1	1	1	46.7791986880361	1	1	39.8550745165587	1	93.3185413284433	55.4580800230254	80.2352938802473	29.6769878388666	51.3794079531954	1	84.1579540397703	73.7233068091791	1	97.353358701763	80.0820666166249	74.0850064314621	1	40.8701780267967	1	66.4811525391942	1
A2M	365.772695505843	1	971.394204505792	1	1	1	297.90454538759	2330.85459633199	1064.00996307817	1	1	1	1	1	1	62.1069767646207	1	1	1	251.031435979771	1	197.417674920234	1	1	1	1504.42076175309	852.565528175552	315.944611037523
A4GALT	1	1	85.5430537518114	1	1	1	1	99.952928583602	74.325804140482	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	127.024491695255	52.467435272097	1
AACS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.802956989737	1	1	1
AADACL2.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	105.869079041857	1	1	1	1	1	1	1	1
AAED1	1	1	71.640214358496	1	1	1	33.8037005463844	70.3161439901794	40.5774310240797	1	1	1	1	1	1	1	1	1	1	1	1	1	31.9583870500339	1	1	1	71.2567708651754	1
AAK1	1	1	1	1	101.763640242996	88.9952013256036	39.0947381573226	61.9891117358763	1	1	177.990977843829	1	1	1	1	57.2006564284725	1	1	1	1	1	1	33.6145549042948	99.5814342291216	1	1	1	118.517701251793
AARD	1	1	1	1	1	1	1	1	1	59.9871865637246	1	1	1	1	103.495611673751	1	1	1	1	1	1	1	1	1	51.3365778431485	1	1	1
ABCA1	1	1	1	1	1	1	282.158527687418	1	1	1	1	1	1	1	32.4525837376609	101.861537332497	1	1	1	90.2292142673628	1	52.4719890922159	1	1	1	1	1	1
ABCA10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	113.221520316322	1	1	1	1	1	1	1	1
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	1	54.3483348936459	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	42.3129103845329	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	36.6559486560542	1	27.8382443659941	1	1	1
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	214.321567616951	1	72.437154072345	1	1	1	1	1	1
ABCA8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	236.340995092603	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	1	91.1862693195846	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	34.5077648573917	1	1	1	1	1	1	1	1	1	1
