NAME	PVL Differentiated	T cells CD8+	GenMod4	Luminal Progenitors	GenMod3	GenMod1	Plasmablasts	B cells Memory	B cells Naive	NKT cells	T cells CD4+	GenMod7	GenMod5	PVL Immature	CAFs myCAF-like	CAFs MSC iCAF-like	NK cells	Macrophage	Monocyte	Endothelial ACKR1	Endothelial RGS5	GenMod6	DCs	GenMod2	Mature Luminal	Endothelial CXCL12	Myoepithelial	Endothelial Lymphatic LYVE1
A1BG	62.0994791181176	1	34.2157841744493	45.1940629560094	40.5328131283513	92.4348423696872	59.6758874024667	1	1	1	1	81.4196455910924	84.704964762418	76.0934384816382	79.6207875766593	1	1	45.2029429515262	1	1	1	88.0917689999594	69.1051103163407	67.8881340942829	71.0226961104248	1	1	1
A2M	902.449925784702	1	1	1	1	1	1	1	1	1	1	1	1	1081.58769289408	233.456238061883	229.258731028194	1	278.579659698659	76.5566836094501	1115.66365610148	1562.61237297484	1	1	1	1	2497.81939187753	416.295732839601	358.150182178298
A4GALT	50.1442866088714	1	1	1	1	1	1	1	1	1	1	1	1	58.483273482696	62.6607650557971	1	1	1	1	80.0353826161235	99.5689055616607	1	1	1	1	81.8061850745662	1	1
AADACL2.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108.773515370285	1	1	1	1	1	1	1	1	1	1	1	1
AAED1	63.0714079458327	1	1	1	1	1	1	1	1	1	1	1	1	56.8199974081087	44.7687075990764	1	1	31.5165230702662	1	45.9895877571214	1	1	27.9867855430813	1	1	94.049642964279	1	1
AAGAB	1	1	36.3617145911332	1	40.0083678927375	1	1	1	1	1	1	1	41.4419010998128	1	1	1	1	1	1	1	1	32.7004955723055	1	26.6653496324029	59.9404502553348	1	1	1
AAK1	1	100.863226281892	1	1	1	1	1	1	1	1	97.7298567776886	1	1	1	1	1	111.715897593854	43.1117796983239	1	1	39.7563381302384	1	1	1	36.1849126136086	56.3931107906413	76.6521654541419	1
AARD	1	1	39.7747508518813	44.3064551067629	112.454308666224	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AASDHPPT	1	1	68.2918615707191	39.4377825476514	60.733169695508	45.119282915057	1	1	99.0125715931	1	1	39.2015660408971	42.90895691855	54.2586643481123	55.7177860049814	1	1	1	1	1	43.6706891209449	48.5036377975866	1	43.689075744675	44.9213543483883	1	69.7306928151699	1
ABCA1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42.5318213614612	85.1634350452905	1	271.447500803272	125.598236858101	1	1	1	1	1	1	1	1	1
ABCA10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	113.357051771772	1	1	1	1	1	1	1	1	1	1	1	1
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	60.9641289144699	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	1	1	1	26.1311815676726	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40.8856211005401	1	66.2891759328243	1
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	57.0095466451338	210.010741857924	1	1	1	1	1	1	1	1	1	1	1	1
