NAME	T cells CD8+	CAFs myCAF-like	Macrophage	T cells CD4+	Mature Luminal	GenMod6	GenMod3	CAFs MSC iCAF-like	PVL Differentiated	Endothelial ACKR1	GenMod4	Plasmablasts	NKT cells	GenMod7	GenMod5	PVL Immature	NK cells	GenMod1	Monocyte	B cells Naive	Endothelial CXCL12	GenMod2	Endothelial RGS5	Myoepithelial	B cells Memory	DCs	Luminal Progenitors	Endothelial Lymphatic LYVE1
A1BG	1	96.4179171477664	1	1	59.6854511786131	81.3028639111831	44.9749590760791	1	71.5634383984371	1	53.9194889140216	48.047148295497	1	61.0315057913914	70.4102556989656	102.369623978089	1	93.9146775696637	1	1	1	71.4604327119786	1	46.0601363295763	1	71.0122774901646	39.7857283059818	1
A2M	1	219.642733828165	290.672649682479	1	1	1	1	234.542477653945	850.840010788519	950.806981433701	1	1	1	1	1	1240.52371402497	1	1	53.143373966329	1	2191.26099965703	1	1294.16603764347	316.019745779973	1	1	1	373.084777516844
A4GALT	1	49.3872090517689	1	1	1	1	1	1	52.3661155695942	67.44527915506	1	1	1	1	1	59.5668563033038	1	1	1	1	71.3777930488708	1	81.2029390621693	1	1	1	1	67.3232205166361
AADACL2.AS1	1	1	1	1	1	1	1	104.280811189511	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAED1	1	1	32.7771896622706	1	33.5157906820709	1	1	61.1854518035729	53.5707605852036	52.0866711829213	1	1	1	1	1	1	1	1	1	1	58.1777332539735	1	28.1468068922037	1	1	1	1	283.396609749076
AAK1	92.0785055429248	1	40.0065255572452	117.831689176947	26.8702329683566	1	1	1	1	1	1	1	1	1	1	1	85.9967541136699	1	44.9589473751543	1	69.6838125117927	1	1	1	1	1	1	1
AARD	1	1	1	1	1	61.8714353344544	85.8149701440149	1	1	1	82.0494162934754	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42.4606208622874	1
AARS	1	1	1	1	25.4802357750027	1	36.9561241601463	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AASDH	1	1	1	1	28.7812681694019	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA1	1	49.8273011541178	262.976368042893	1	1	1	1	77.704260898032	1	1	1	1	1	1	1	1	1	1	155.760950382154	1	1	1	1	1	1	1	1	135.37775878233
ABCA10	1	1	1	1	1	1	1	103.368924318902	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	114.03391389287	1	1	48.5604863911989	1
ABCA6	1	48.4111706418825	1	1	1	1	1	211.940546493995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA8	1	1	1	1	1	1	1	237.017785467893	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA9	1	1	1	1	1	1	1	75.9170532098254	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	74.8311568545203	1	35.2916198961342	1	1	1	1	1
ABCB8	1	1	1	1	31.7892333353047	25.3424856482284	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC3	1	1	31.2428424719427	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39.4950916551359	1	1	1	1
ABCC9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	242.35588645566	1	1	1	1	1	1	1	1	1	1	1	1
ABCD3	1	1	1	1	54.1370420963744	32.6663803695197	1	1	1	1	1	1	1	1	91.0457006596201	1	1	33.5673357200193	1	1	1	36.0447819448768	1	1	1	1	1	1
ABCD4	1	1	1	1	1	1	1	1	1	141.359654594378	1	1	1	1	1	1	1	1	1	1	59.1646974608676	1	73.129306524485	1	1	1	1	1
ABCE1	1	55.5730823331485	1	1	29.7614084599744	39.0039896330089	57.6685551867865	1	1	65.5975376436119	64.8172533567257	1	1	49.167067980279	44.0263598107464	44.5613130922629	1	1	1	164.685948963336	72.5143763125402	62.3564807283579	38.1706509887762	1	1	73.2990184351653	44.5088884511986	130.782158629071
ABCF2	1	1	1	1	40.1800680133285	1	31.7317074724378	1	1	1	35.9357022492516	1	1	1	1	1	1	1	1	1	1	33.2739009752111	1	1	1	1	1	1
ABCG1	1	1	64.1532581096713	1	1	1	1	1	1	70.8365000702019	1	1	1	1	1	1	1	1	45.3636743703664	1	1	1	53.3816438803094	1	1	41.9381735977191	1	27.5765774475638
ABHD11	1	1	1	1	54.5410685125189	105.057889912836	46.1601499433542	1	1	1	84.4817185308857	1	1	110.363583921432	109.58408858104	1	1	134.765207558244	1	1	1	75.7600210335441	1	1	1	1	56.8224345112342	1
ABHD16A	1	1	1	1	42.8992189349871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABHD17A	1	1	1	1	1	1	1	1	1	44.4696936454971	28.7661116173217	1	110.838137924455	1	1	1	1	1	1	1	86.8239438102477	1	54.6769803497049	1	1	1	1	1
ABHD3	1	1	1	1	1	32.7901016420449	1	1	1	1	1	1	1	1	1	1	84.9924851278089	31.7217558524136	1	1	1	1	1	1	1	1	1	1
ABHD5	1	1	83.5824236003571	1	93.8577543234836	60.617145500131	1	61.87302603534	57.6567816977275	66.5049508512561	1	1	1	66.3386171156353	1	89.3395538985752	104.98687562653	92.759482788142	87.1455035674884	1	55.3785429779839	1	39.6865836375014	73.2698512834251	105.635795132556	1	93.2803315955332	1
ABI1	109.471347128154	62.8720462529998	82.4779082678615	95.3366342382712	45.2410727585	41.8073967610602	46.5206976213846	1	1	48.4361609536954	45.9607163197629	1	79.9939747741077	44.2031804792668	58.3452578524342	1	1	38.3293142338878	64.2135924998929	1	58.3187634759578	42.3386126002557	1	1	84.907642361103	58.6003109959856	53.1505887967824	1
ABI3	90.8294065156292	1	82.4089250664899	1	1	1	1	1	1	73.8671954846094	1	1	227.903101867109	1	1	1	1	1	62.2681760983928	1	58.0051384039353	1	91.1547162266467	1	1	166.165405646953	1	1
ABI3BP	1	95.4571237639083	1	1	1	1	1	135.16861635625	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABL2	1	120.357249054692	108.717467639677	1	1	1	27.3343962123865	70.2888789443774	1	145.492951075001	1	1	1	1	1	1	1	1	115.291621594434	1	234.284487002467	1	108.11519013055	1	1	1	1	36.442993185109
ABLIM1	1	1	1	107.870878203738	1	64.9051738585477	37.421008576381	69.140161334316	1	182.689154801611	46.1859036354887	1	1	80.5137997790459	1	1	132.220976484178	66.1255183105222	1	1	91.3490798777433	37.8610192609512	78.140151190789	48.883244334861	1	1	28.8300320447779	109.494402355557
ABLIM3	1	1	1	1	1	1	1	1	1	38.735877574281	1	1	1	1	1	1	1	1	1	1	48.8964184282807	1	1	1	1	1	1	1
ABR	1	1	40.2342686625285	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40.4094617282363	1	1	1	1	1	1	1
ABRACL	300.234541878971	104.992022434778	160.536248711152	315.794013917717	119.858968554049	211.192878111055	192.211342150262	1	1	81.9135639612677	330.826649606288	50.773359441198	406.81094317385	216.325320411186	209.189917398093	1	249.564611814765	182.647852144601	213.351883208535	113.57809473081	126.229076129363	311.234887306128	93.0101994972795	1	110.750142379643	210.936834946264	75.3360267663443	85.1824046621155
ABT1	1	1	1	1	1	35.7939682042661	34.1973785061545	1	1	1	62.2057969440448	1	1	36.4726547581579	1	1	1	1	1	1	1	48.0068755999031	45.6158045806865	59.6943414783987	1	1	34.8899999093367	1
ABTB1	1	1	1	1	1	1	1	1	113.796537919125	48.4462954620307	1	1	95.21925121044	1	1	113.760217620904	1	1	1	1	1	1	51.222170803117	52.7177354160268	1	1	1	52.8941154983265
AC006129.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	211.245257146137	1	1	1	1	1	1	1	1
AC007246.3	1	1	1	1	34.3399672509625	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	63.0874192474157	1	1	1	1	1	1	1
AC008268.1	1	1	1	1	43.7788573871088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC013461.1	1	44.607033250314	1	1	51.7984159435589	52.4482056335882	58.2662638759599	86.0953559732382	438.588307463265	1	39.8519674689179	1	1	1	1	200.152261688146	1	57.991463893165	1	1	55.057355746509	1	63.908580444691	127.765983378717	1	1	1	1
AC018816.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	131.252333746718	1	1	1	1	1	1	75.6412658605565	1	1	1	1	1	1
AC079767.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	158.186374951847	1	1	1
AC092580.4	119.327771436758	1	1	1	1	1	1	1	1	1	1	1	139.848653453336	1	1	1	157.207230081056	1	1	1	1	1	1	1	1	1	1	1
AC093818.1	1	1	1	1	1	1	1	1	1	1	1	82.6385834193805	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC133644.2	1	1	1	113.896765301074	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACAA2	1	51.930907730263	1	1	1	1	32.8713207645452	1	1	1	53.7986054555285	1	77.7067362195432	1	1	1	1	1	1	1	1	49.2548478596694	1	1	1	1	29.4957742501659	1
ACACA	1	1	1	1	43.0513544579917	31.8839159551172	1	1	1	1	1	1	1	43.1901061556961	47.8391675627194	1	1	32.4631079822745	1	1	1	1	1	1	1	1	1	1
ACACB	1	1	1	1	1	1	1	1	1	48.7825640918458	1	1	1	1	1	1	1	1	1	1	78.5631602485368	1	1	1	1	1	1	1
ACAD9	1	1	1	1	1	1	1	1	1	1	31.904279651325	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACADS	1	1	1	1	56.8105033073926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.9612408490311	1
