NAME	Macrophage	T cells CD4+	Mature Luminal	PVL Differentiated	GenMod1	GenMod6	Endothelial CXCL12	Endothelial ACKR1	GenMod4	Plasmablasts	CAFs MSC iCAF-like	NK cells	Monocyte	CAFs myCAF-like	T cells CD8+	Luminal Progenitors	GenMod2	GenMod3	B cells Memory	GenMod5	DCs	NKT cells	B cells Naive	GenMod7	Myoepithelial	PVL Immature	Endothelial RGS5	Endothelial Lymphatic LYVE1
A1BG	44.9228102802994	1	46.4831877495834	87.0456630909786	96.1433166013311	78.5112220584956	1	1	42.0618982372065	67.0099764213304	1	1	1	77.9439839652855	1	53.9384642990264	61.3928580545328	26.7546982911546	1	74.1731565651123	65.7116993628155	1	1	73.3524048388014	1	52.9394191161828	1	1
A2M	333.090890276563	1	1	732.45416147039	1	1	2120.63201248543	1037.67304765928	1	1	313.107151980028	1	63.8722171120588	218.719904346826	1	1	1	1	1	1	1	1	1	1	286.451329275371	1125.33533921803	1630.40024141381	581.962144741921
A4GALT	1	1	1	62.4025085090008	1	1	95.5693959498604	61.5423606889549	1	1	1	1	1	45.1237512308853	1	1	1	1	1	1	1	1	1	1	1	92.080112666286	97.1541267567956	59.7303782139619
AADACL2.AS1	1	1	1	1	1	1	1	1	1	1	110.302953107833	1	1	52.7446278022068	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAED1	37.5614837297776	1	1	74.0104966283537	1	1	67.3203603211324	41.9966238304683	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	42.2591719922935	47.6508921446366	126.792928605088
AAK1	50.0192008482645	110.101490053991	1	1	1	1	52.2131273624869	1	1	1	1	84.5635152207078	42.5597040566816	43.2129112525492	98.0786158520613	1	1	1	1	1	1	143.032387800935	1	1	1	1	38.3137802262279	1
AARD	1	1	1	1	1	1	1	1	63.7260808100865	1	1	1	1	1	1	43.6065226369629	1	105.632156082158	1	1	1	1	1	1	1	1	1	1
AARS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	56.9817718915314	1	1
AATF	1	1	52.5350952470508	1	42.7236670879605	30.5540500672591	1	40.3296662187301	42.913378514183	1	1	1	1	1	1	47.2785773047439	42.1832324195042	53.1767261734186	1	40.7251530781504	35.4597043112888	1	1	36.0180425752916	83.659256260505	1	1	1
ABCA1	251.550917929349	1	1	1	1	1	1	1	1	1	50.2633544476465	1	95.9115414192172	70.6664974632107	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA10	1	1	1	1	1	1	1	1	1	1	86.7023569716754	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.6518113689273	1	1	1	1	1	1	1	1	61.5818757003292	1	1	1
ABCA6	1	1	1	1	1	1	1	1	1	1	240.863350805678	1	1	53.4170168234339	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA8	1	1	1	1	1	1	1	1	1	1	234.989477897762	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	53.7628674878432	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB8	1	1	1	1	1	26.026116640494	1	1	1	1	1	1	1	1	1	1	22.6764507332545	1	1	1	1	1	1	1	1	1	1	1
ABCC5	42.5448823206583	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC9	1	1	1	72.684664191867	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	261.320116680886	47.7508243365956	1
ABCD3	1	1	59.4546011225768	1	1	29.1097697839142	1	1	1	1	1	1	1	1	1	1	31.5824683756086	1	1	70.1960785202262	1	1	1	1	1	1	1	1
ABCD4	1	1	1	1	1	1	67.4369789046272	170.614595450658	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	70.3869473794756	25.8644705824057
ABCG1	56.6521735593465	1	1	1	1	1	1	68.3160551984202	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	41.7283374654651	71.9222011343783
ABHD11	1	1	75.3813336470767	1	137.137383868154	116.686948716833	1	1	78.8298884310772	1	1	1	1	1	1	40.6666348446642	92.1885614845613	67.6991293580221	1	116.409414173745	1	1	1	107.043390981553	1	1	1	1
ABHD13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.8777188656117	1	1	1	1	1	1	1	1	1	57.0937729623986
ABHD16A	1	1	36.5238518358388	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABHD17A	1	1	1	1	1	1	72.6726868751524	47.9085612656817	1	1	1	1	1	1	1	1	22.0940968335891	1	1	1	1	130.674220655735	1	1	1	1	91.4767920655135	50.0665010354171
