NAME	T cells CD8+	T cells CD4+	Endothelial ACKR1	B cells Memory	CAFs MSC iCAF-like	B cells Naive	NKT cells	GenMod1	GenMod3	GenMod6	Monocyte	CAFs myCAF-like	PVL Immature	GenMod7	Endothelial RGS5	GenMod2	Plasmablasts	GenMod5	Macrophage	GenMod4	Luminal Progenitors	Mature Luminal	Myoepithelial	PVL Differentiated	NK cells	DCs	Endothelial CXCL12	Endothelial Lymphatic LYVE1
A1BG	1	1	1	1	51.2659740616836	1	1	110.058957213545	44.5478589364718	83.0199423146821	1	67.5427743208501	57.5909392415925	77.8431682616103	1	78.9938319682631	61.064838178825	97.5334483597297	42.003283133794	38.4769698772139	35.0205385421158	57.4208834088243	55.6103241006061	76.7286218469396	1	73.1153161352366	1	1
A2M	1	1	1071.51820779789	1	170.604612187425	1	1	1	1	1	1	223.497024212356	1031.86239724191	1	1571.04693509483	1	1	1	285.553374679814	1	1	1	301.045016097558	781.164968939158	1	1	2295.36776149022	665.348635170638
A4GALT	1	1	90.5238909711904	1	1	1	1	1	1	1	1	43.9692471989349	52.3042749437402	1	82.7903053183474	1	1	1	1	1	1	1	1	88.7055451128851	1	1	77.5954967568223	1
AAAS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29.6024448199958	1	1	1	1	1	1
AAED1	1	1	1	1	1	1	1	1	1	1	1	42.8726842613093	1	1	1	1	1	1	37.6753415519447	1	1	1	1	60.1125771919077	1	1	73.3181208484347	1
AAGAB	1	1	1	1	1	1	1	31.3042059110368	28.3619591911006	39.1714787677539	1	1	1	1	1	39.5126124841586	1	1	1	38.2833168272945	1	54.8136109989125	1	1	1	1	1	1
AAK1	101.368242198832	112.380160960473	1	1	1	1	95.4315203083586	1	1	1	1	38.4721106341479	1	1	1	1	1	1	45.3794121433757	1	1	1	51.9680885059335	1	98.4224895469899	1	59.4414770728406	1
AAR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.238046991752	1	1	1	1	1	1	1	1	1	1	1	1
AARD	1	1	1	1	1	1	1	1	117.748661188813	1	1	1	1	1	1	1	1	1	1	57.3330016863973	45.8994799458095	1	1	1	1	1	1	1
AARS	1	1	1	1	1	1	1	1	35.584722086431	1	1	1	1	1	1	1	1	1	1	1	1	30.9446945745265	1	1	1	1	1	1
AASS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	81.6260833862281
ABCA1	1	1	1	1	88.1934531077192	1	1	1	53.8309310068616	1	87.8337961063723	79.3068716392863	1	1	1	1	1	1	259.751646610527	1	1	1	1	1	1	1	1	1
ABCA10	1	1	1	1	82.4721746130311	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40.1937901173417	62.2301309291791	56.9008190074105	1	1	1	1	1
ABCA6	1	1	1	1	224.090510227743	1	1	1	1	1	1	64.3339398590003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA8	1	1	1	1	191.147349674524	1	1	1	1	1	1	1	93.0158948331772	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA9	1	1	1	1	69.9421845967266	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	76.607659064338	1
ABCB7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.6975408282257	30.1884400593257	1	1	1	1	1	1
ABCB8	1	1	1	1	1	1	1	1	1	31.1015042746085	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	38.1819129979554	1	1	1	1	1	1	1	1	1
ABCC9	1	1	1	1	1	1	1	1	1	1	1	1	326.408553453654	1	1	1	1	1	1	1	1	1	1	63.009918877417	1	1	1	1
ABCD3	1	1	1	1	1	1	1	38.2687181708608	1	36.0213527389157	1	1	1	1	1	31.6610550745008	1	99.0149974767884	1	1	1	55.8322129234053	1	1	1	1	1	1
ABCD4	1	1	151.750518329243	1	1	1	1	1	1	1	1	1	1	1	80.8793237599526	1	1	1	1	1	1	23.6467890887397	1	1	1	1	68.9600298091286	1
ABCE1	1	1	64.558005227202	1	1	1	1	40.3155979325304	64.8070277593511	47.7460611070393	53.8366107177536	1	1	55.4272479411059	73.9838705638724	47.2177142297349	1	48.4870887664178	1	59.6920171172598	43.8848690677754	63.7559553987026	1	1	1	71.1212523329234	97.3652738001228	435.864242251446
ABCF2	1	1	1	1	1	1	1	1	44.2072152850077	1	1	1	1	1	38.4442754713987	32.1487286543872	1	1	1	39.5409532584467	1	1	1	1	1	1	1	1
ABCF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24.4801960895926	1	1	1	1	1	1	1	1	1	1	1	1
ABCG1	1	1	84.5855730722517	1	1	1	1	1	1	1	1	1	1	1	50.9942820538199	1	1	1	69.6225799874339	1	1	1	1	1	1	1	74.8531202983282	1
ABHD11	1	1	1	1	1	1	1	152.923349675067	50.8495145910306	111.318730327557	1	1	1	110.731105943627	1	89.7412084125091	1	123.796079502536	1	77.879170619387	38.4570174006204	71.0769615539781	1	1	1	1	1	1
ABHD13	1	1	1	1	1	1	1	1	31.9880736462437	1	1	1	1	1	1	1	1	1	1	1	1	40.2793633130967	1	1	1	1	1	1
ABHD17A	1	1	37.9917412097662	1	1	1	101.187048964164	1	33.7751619604574	1	1	1	1	1	76.0586062692704	1	1	1	1	29.7011991754001	1	1	1	1	1	1	83.725442902865	1
ABHD3	1	1	1	1	1	1	1	37.0192882363299	1	34.6907866042595	1	1	1	1	1	1	1	34.7464097068097	1	1	1	1	1	1	1	1	1	1
ABI1	93.3732980368242	94.0249367234934	71.7370220367584	128.036316676513	1	93.6656071999832	1	45.1659413042389	38.6602973671182	37.3736981537795	53.0199832425143	45.5468124235584	1	52.1402412283383	51.9554145486796	42.4530009581961	1	1	93.6821094910003	35.1170170624615	46.0207078927652	36.1651897001519	55.6856974650542	1	1	51.6247943741441	51.8490126074123	1
ABI3	90.5937948171081	1	80.671518937272	1	1	1	292.005515540045	1	1	1	70.5064291201395	1	1	1	92.6992227758226	1	1	1	92.0354786969183	1	1	1	1	1	1	65.187465802872	1	1
ABI3BP	1	1	1	1	154.293552316525	1	1	1	1	1	1	101.220010182418	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100.434282628529
ABL2	1	1	134.76493698881	1	81.5732252500167	1	1	1	34.4083372059298	1	61.882814217841	91.004691946848	1	1	85.781457720248	1	1	1	112.154548275259	1	1	1	1	1	1	45.3163126607678	285.007846949118	1
ABLIM1	1	90.1852596448271	169.417990638918	1	72.205245107765	134.185042737358	1	56.3810869876396	1	69.0799672074817	1	1	1	86.8817121767544	128.052423773809	47.2423941120241	1	1	1	65.7879775475013	50.7860695848847	1	1	1	101.145013194087	1	114.438939973542	1
ABR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.3028324637849	1	1	1	1	1	1	1	1	1
ABRACL	331.274978335138	320.92857727457	68.3674190221783	90.3838363597483	1	139.808193362796	254.357374923557	157.098734637258	190.778473264954	215.007484854068	204.747201989399	95.0704260334071	1	214.010245672493	91.2077095021224	307.366830904924	51.030547948363	154.441943460348	145.559205772413	326.037382712382	101.368756808677	114.418752166882	1	1	148.044045793999	200.210355799595	98.2450435468834	152.723866393708
ABT1	1	1	1	1	1	70.6133297946766	1	1	1	33.334907798066	1	1	1	1	1	46.2444246183999	1	1	1	63.9579644504841	1	36.9829565479601	76.3311373260608	1	1	1	37.4718438195464	50.7171413142645
ABTB1	1	1	1	1	1	1	1	1	1	1	1	1	84.447999128731	1	55.0702313911682	1	1	1	1	1	1	1	1	123.427064994332	1	1	1	1
AC006129.2	1	1	1	83.2432827754303	1	120.629909397418	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
