NAME	PVL Differentiated	Macrophage	GenMod4	T cells CD8+	T cells CD4+	Endothelial RGS5	B cells Memory	GenMod1	Myoepithelial	CAFs MSC iCAF-like	CAFs myCAF-like	Plasmablasts	B cells Naive	GenMod3	GenMod2	GenMod7	DCs	GenMod5	Endothelial ACKR1	Monocyte	Mature Luminal	GenMod6	Endothelial CXCL12	NK cells	PVL Immature	Luminal Progenitors	NKT cells	Endothelial Lymphatic LYVE1
A1BG	70.5150907946813	1	44.1277696574992	1	1	1	1	117.037169332096	71.3703080160218	64.5996669565135	66.5129231621605	72.7568800202204	1	51.1329254987646	76.3494096697023	61.0631819812971	89.1769164687006	79.9278535663242	1	1	49.9950115945689	67.3859392882073	1	1	72.4439060653515	45.3693979448592	1	68.269322760479
A2M	726.258220228846	297.267531434173	1	1	1	1578.51465449535	1	1	347.741399938589	226.432945666105	198.253783023694	1	1	1	1	1	1	1	1055.82292165672	1	1	1	2411.41855766158	1	1097.65468860857	1	1	199.994047971747
A4GALT	78.9869790529802	1	1	1	1	75.5891003773876	1	1	1	1	1	1	1	1	1	1	1	1	82.5140340042911	1	1	1	96.405729024535	1	53.7729024287734	1	1	59.6974689099004
AADACL2.AS1	1	1	1	1	1	1	1	1	1	107.379641332642	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAED1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	75.6442596795529	1	70.9803660692632	1	1	39.1370728097199
AAK1	1	47.0687445121596	1	96.8251240903779	99.8334500520828	42.1156309262526	1	1	1	1	32.7074627978876	1	1	1	1	1	1	1	1	58.3748307038193	1	1	54.6432275164004	87.0891870024305	1	1	167.216358930957	87.9697511806361
AARD	1	1	72.6434402664251	1	1	1	1	1	1	1	1	1	1	142.996428993943	1	1	1	1	1	1	1	1	1	1	1	48.2783721172289	1	1
AARS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.3061236023279	1	1	1	1	1	1	1
ABCA1	1	279.631722399575	1	1	1	1	1	1	1	89.8872687142286	46.7866593926015	1	1	1	1	1	1	1	1	99.6910102327598	1	1	1	1	1	1	1	44.7073397399091
ABCA10	1	1	1	1	1	1	1	1	1	102.975712971724	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	59.6451588851953	1	1	1	1	1	1	1	1	1	1
ABCA5	1	1	1	1	1	1	1	1	80.6864124494061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.0856202864694	1	1
ABCA6	1	1	1	1	1	1	1	1	1	178.678838347011	46.6501513009937	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
