NAME	Endothelial ACKR1	Endothelial RGS5	GenMod5	Endothelial CXCL12	NK cells	T cells CD4+	GenMod1	GenMod3	T cells CD8+	Macrophage	NKT cells	Plasmablasts	PVL Differentiated	CAFs MSC iCAF-like	DCs	CAFs myCAF-like	Monocyte	GenMod2	GenMod7	Myoepithelial	GenMod6	PVL Immature	Luminal Progenitors	B cells Memory	GenMod4	Mature Luminal	B cells Naive	Endothelial Lymphatic LYVE1
A1BG	1	1	89.6890761613627	1	1	1	104.757009503404	34.7834690396633	1	1	1	61.567955268401	71.7192915831773	74.6871102376462	87.9518844485785	95.0390658172731	1	67.4618477862603	70.4412958579782	55.9256361547365	78.3126575139407	69.6755089257707	39.5317320907509	1	40.1204482067667	45.3069454734116	1	1
A2M	1096.53858463903	1628.22100357857	1	2334.97186329886	1	1	1	1	1	290.073710555428	1	1	833.270896016911	211.435635258243	1	208.222388086849	54.5275455929947	1	1	320.891166117719	1	888.545545769054	1	1	1	1	1	360.6311013123
A4GALT	87.3372262653469	58.7573523721863	1	65.2020807817906	1	1	1	1	1	1	1	1	51.1764889378317	1	1	56.0613137272312	1	1	1	1	1	63.8743627549054	1	1	1	1	1	1
AAAS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	22.0348226638855	1	1	1	1	1	1	1	1	1	1
AADACL2.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	92.0294044083435	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAED1	47.7278709124687	33.9186166245464	1	70.0439302138553	1	1	1	1	1	38.4984861792287	1	1	68.9469480278864	1	1	1	1	1	1	1	1	60.7054625040819	1	1	1	1	1	123.951476233875
AAK1	1	35.2852653043196	1	49.823833633885	75.816140000123	108.973638465294	1	23.5579675078852	97.5989677724842	43.6951466033526	1	1	1	1	1	38.648310676748	37.292426075481	1	1	1	1	1	1	1	1	1	1	1
AAR2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	23.5177313363116	1	1	1	1	1	1	1	1	1	1
AARD	1	1	1	1	1	1	1	115.316244898019	1	1	1	1	1	1	1	1	1	1	1	1	52.2695048160511	1	63.3077568010042	1	58.8004505673261	1	1	1
ABCA1	1	1	1	1	1	1	1	1	1	257.751941983747	1	1	1	89.511955370932	1	47.9644262428797	106.938979181712	1	1	1	1	1	1	1	1	1	1	1
ABCA10	1	1	1	1	1	1	1	1	1	1	1	1	1	124.337964931569	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA3	1	1	62.579642669445	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	90.9292088582064	1	1	35.5498205964666	1	1	1	1	1
ABCA6	1	1	1	1	1	1	1	1	1	1	1	1	1	199.570379324117	1	72.008843363823	1	1	1	1	1	1	1	1	1	1	1	1
ABCA8	1	1	1	1	1	1	1	1	1	1	1	1	1	226.947413902549	1	1	1	1	1	1	1	1	1	1	1	1	1	1
