NAME	GenMod2	PVL Differentiated	NK cells	T cells CD8+	PVL Immature	GenMod7	GenMod3	Plasmablasts	GenMod5	Macrophage	GenMod1	T cells CD4+	CAFs MSC iCAF-like	Myoepithelial	B cells Memory	CAFs myCAF-like	Endothelial CXCL12	GenMod6	Luminal Progenitors	Endothelial RGS5	Endothelial ACKR1	GenMod4	Endothelial Lymphatic LYVE1	Mature Luminal	DCs	Monocyte	B cells Naive	NKT cells
A1BG	75.8720521138796	49.1448286561115	1	1	81.7795417118101	97.4537752449168	33.5114676379895	64.4235013145454	90.2503352410325	44.4374914879078	106.288738449127	1	1	1	1	76.4695265649482	1	71.6887134944244	34.3261431741083	1	1	46.9758638568508	1	84.3764380480844	58.780545895732	36.2897541037806	1	1
A2M	1	735.577340565357	1	1	990.072795533464	1	1	1	1	286.787169256159	1	1	183.739288384809	261.308640275814	1	209.363352622435	2777.67280929557	1	1	1542.05584031087	920.263018770118	1	352.215103223502	1	1	73.7803162645302	1	1
A4GALT	1	65.990761624393	1	1	88.9270366183975	1	1	1	1	1	1	1	1	1	1	1	150.436404160154	1	1	74.4605415017513	83.334543704899	1	62.8652216872651	1	1	1	1	1
AACS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25.1620763306677	1	1	1	1	1	1	1	1	1	1
AADACL2.AS1	1	1	1	1	1	1	1	1	1	1	1	1	95.6280855912691	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAED1	1	56.2159438007871	1	1	50.860764473355	1	1	1	1	42.7412249836858	1	1	1	1	1	1	52.8110192960496	1	1	1	1	1	25.6144394330331	26.5988241634956	37.9979752859198	1	1	1
AAK1	1	1	84.0921157729474	110.872020266362	1	1	1	1	1	40.3414120751496	1	99.1338615794389	1	1	1	36.1830330040196	55.6400136469601	1	1	1	1	1	1	25.4405692559045	1	34.1966793969954	1	104.324372009365
AARD	1	1	1	1	1	1	92.3898305323146	1	1	1	1	1	1	1	1	1	1	1	54.4407573375186	1	1	60.6884190551819	1	1	1	1	1	1
AARS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28.659771746333	54.8699840484619	1	1	1	1	1
ABCA1	1	1	1	1	1	1	44.38775450517	1	1	251.266244271504	1	1	89.0766778317993	1	1	62.969253030821	1	1	1	1	1	1	1	1	1	119.741696013757	1	1
ABCA10	1	1	1	1	1	1	1	1	1	1	1	1	109.78277350998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
