NAME	CAFs MSC iCAF-like	Endothelial ACKR1	B cells Memory	T cells CD4+	Monocyte	GenMod5	T cells CD8+	Endothelial CXCL12	Plasmablasts	NK cells	GenMod4	DCs	CAFs myCAF-like	GenMod2	PVL Differentiated	Macrophage	GenMod1	Mature Luminal	Endothelial RGS5	Endothelial Lymphatic LYVE1	GenMod3	GenMod7	Luminal Progenitors	B cells Naive	PVL Immature	Myoepithelial	GenMod6	NKT cells
A2M	196.507779543503	1071.95484519497	1	1	57.897771138795	1	1	2314.18233605952	1	1	1	1	195.378148155302	1	801.576076744239	290.290972741602	1	1	1589.82561610047	473.007111515785	1	1	1	1	1080.20273278944	288.05400054483	1	1
A4GALT	1	76.1629601399315	1	1	1	1	1	108.629148869451	1	1	1	1	63.1589508071338	1	54.6279741724757	1	1	1	92.4709028695	106.533874436138	1	1	1	1	46.5067545585051	1	1	1
AAAS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	31.587732058312	1	1	1	1	1
AADACL2.AS1	118.74065318008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AAED1	1	50.1423687631392	1	1	1	1	1	52.9700789579043	1	1	1	1	37.7743472965918	1	1	36.2011607145034	1	1	1	52.2019830407042	1	1	1	1	58.9960008945745	1	1	1
AAK1	1	1	1	100.930252684336	1	1	85.2739254946084	51.8566287038494	1	1	1	1	39.3183848231682	1	1	51.0618906688138	1	1	1	1	25.9124223189327	1	1	1	1	1	1	129.803212867754
AARD	1	1	1	1	1	1	1	1	1	1	66.4638852398655	1	1	1	1	1	1	1	1	1	97.5673598430298	91.6352564015401	41.5232060299638	1	1	1	1	1
ABAT	1	1	1	1	1	53.089305939472	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA1	71.2833408533441	1	1	1	93.7516177494309	1	1	1	1	1	1	1	54.8600321150734	1	1	274.989820689297	1	1	1	1	51.2892131193303	1	1	1	1	1	1	1
ABCA10	86.982748655652	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA3	1	1	1	1	1	60.495577879152	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	40.4403964565172	1	1	1	1	39.0387609681016	1	1	70.6638456672689	1	1
ABCA6	231.541853519919	1	1	1	1	1	1	1	1	1	1	1	74.0133620860982	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA8	212.30365480216	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCA9	105.314911518612	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27.6625860418011	1
ABCC3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	44.5098837722164	1	1	1	1	1	1	1	1	1	61.1025012894756	1	1
ABCC9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.4090136212174	1	1	1	1	1	297.037279311816	1	1	1
ABCD3	1	1	1	1	1	93.7876696367661	1	1	1	1	39.0635251954859	1	1	31.6011017717289	1	1	38.4915865126863	40.8676631479847	1	1	1	1	1	1	1	1	29.3596809954757	1
ABCD4	1	136.59869440135	1	1	1	1	1	65.746358088546	1	1	1	1	1	1	1	1	1	1	70.6162280370781	60.15907517972	1	1	1	1	1	1	1	1
ABCF1	1	58.581835647463	1	1	42.9948022738033	38.7858955786546	1	1	1	1	66.6756028040775	1	60.0394019644564	54.4484108781179	1	42.6105872584542	1	33.1955586817496	36.1452728673435	1	52.2367169673711	50.9976390055881	28.7002216989819	128.367342787382	38.1215851021663	1	30.502924987572	1
ABCF2	1	1	1	1	1	1	1	1	1	1	33.3853612712366	46.6969041762912	1	37.8675084122924	1	1	1	1	1	1	30.96556985528	1	19.9224535149655	1	1	1	1	1
ABCG1	1	65.0143218191259	1	1	1	1	1	80.9079909985802	1	1	1	1	1	1	1	71.8034567820779	1	1	51.1632228941643	71.4755339542407	1	1	1	1	1	1	1	1
ABCG2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	56.4740324468363	1	1	1	1	1	1	1	1
ABHD10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	95.4062172969709	1	1	1	1	1	1	1	1
ABHD11	1	1	1	1	1	98.9380516694035	1	1	1	1	74.547486544692	1	1	81.3161710304118	1	1	137.205631970304	70.825723114169	1	1	48.8375824480872	90.8052737909844	50.2030165946233	1	1	1	102.248390702096	1
ABHD13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	27.9217585913907	1	71.4878223808422	24.6780166643409	1	1	1	1	1	1	1
ABHD17A	1	34.9563643082269	1	1	1	1	1	84.0624969528443	1	1	32.4037156583368	1	1	1	1	1	1	1	98.2725011731155	1	21.8956462796885	1	1	1	1	1	1	140.579537473621
ABHD3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.2993594420944	1	1	1	1	1	1	1	1	1	32.9458345634836	1
ABHD5	54.2489473334031	73.5503766832161	1	1	81.5842348435864	1	1	61.3333106292593	1	95.9440651899519	1	1	35.2909328990468	1	74.4078583160476	82.5506840589222	88.756895010914	107.2344391565	35.0501647538401	103.952079861305	1	44.407086953641	113.371191171895	1	65.751794614431	189.114986839447	46.1851982716976	84.1672952407791
ABI1	1	54.400181436338	75.4688580992114	95.9272350552439	75.7203498845165	1	100.431774071874	66.4028073333372	1	1	57.1244225018299	42.2837170137384	43.3880467584403	33.0834565778764	1	91.0495676450678	38.0785086056273	55.8422398000084	31.6237296112485	131.927736014477	38.3844349712909	54.8090807073099	48.2644188426252	1	1	46.724357487812	47.2346964276199	1
ABI3	1	69.933733602281	1	1	83.7536704193965	1	101.814444552054	1	1	1	1	34.1435218606566	1	1	1	87.887483481337	1	1	186.481870637391	1	1	1	1	1	1	1	1	157.120614797812
