NAME	T cells CD4+	Endothelial ACKR1	GenMod2	GenMod4	PVL Immature	GenMod3	T cells CD8+	PVL Differentiated	GenMod7	Monocyte	Macrophage	NKT cells	Plasmablasts	Myoepithelial	GenMod5	CAFs myCAF-like	B cells Memory	Endothelial CXCL12	DCs	GenMod6	B cells Naive	Mature Luminal	GenMod1	Endothelial RGS5	CAFs MSC iCAF-like	Luminal Progenitors	NK cells	Endothelial Lymphatic LYVE1
A1BG	1	1	56.0448759812674	40.8992731460225	73.3195959399632	28.7341540786352	1	77.7618091501133	87.7170691591989	1	46.8316032561505	1	54.9872998803291	51.2570969952558	83.9418552018569	75.2755770497412	1	1	95.5163706241476	89.3495010647368	1	59.688213148677	97.2172377896501	1	1	39.2395941428552	1	49.919343705226
A2M	1	983.491510977251	1	1	1001.36296565058	1	1	861.327011448282	1	52.9558277103658	287.518398710293	1	1	275.030098531267	1	175.235829367314	1	2387.62225984162	1	1	1	1	1	1357.26396669068	182.044712666703	1	1	340.008352135352
A4GALT	1	81.4812400127984	1	1	61.5611943386355	1	1	59.1565148703481	1	1	1	1	1	1	1	36.4153129240765	1	82.1714683971631	1	1	1	1	1	52.2913033311621	1	1	1	59.3720823733515
AADACL2.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	105.969771573692	1	1	1
AAED1	1	35.8330460657911	1	1	49.8742456928929	1	1	55.220999495331	1	1	33.09986261151	1	1	1	1	1	1	62.0452444663944	1	1	1	1	1	43.3438667993191	1	1	1	1
AAK1	111.57488917589	1	1	1	49.8636348967341	1	97.8847744242978	1	1	1	52.6238295840988	113.937365410844	1	53.0917460954634	1	1	1	45.2480518770772	1	1	1	29.8378091479946	1	1	1	1	79.6958512890158	1
AARD	1	1	61.0964105396376	62.085606698503	1	116.61411650719	1	1	138.713001086703	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	49.66000811401	1	1
ABCA1	1	1	1	1	1	1	1	1	1	122.672485643503	275.497394602203	1	1	1	1	61.7509643582156	1	1	1	1	1	1	1	1	101.108304841892	1	1	1
ABCA10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	98.8225384943211	1	1	1
ABCA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.8351011300711	1	1	1	1	1	1	1	1	1	1	1	1	1
